 69 |  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0
 67 |  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0
 65 |  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.1  0.1  0.1  0.2  0.2  0.2  0.2  0.1  0.1  0.1  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0
 63 |  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.1  0.1  0.2  0.2  0.3  0.3  0.3  0.3  0.3  0.3  0.3  0.3  0.2  0.2  0.1  0.1  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0
 61 |  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.1  0.2  0.3  0.3  0.4  0.4  0.4  0.5  0.5  0.5  0.5  0.4  0.4  0.4  0.3  0.3  0.2  0.1  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0
 59 |  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.1  0.2  0.3  0.4  0.4  0.5  0.5  0.5  0.6  0.6  0.6  0.6  0.6  0.6  0.5  0.5  0.5  0.4  0.4  0.3  0.2  0.1  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0
 57 |  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.1  0.2  0.3  0.4  0.5  0.5  0.6  0.6  0.7  0.7  0.7  0.7  0.7  0.7  0.7  0.6  0.6  0.6  0.5  0.5  0.4  0.3  0.2  0.1  0.0  0.0  0.0  0.0  0.0  0.0  0.0
 55 |  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.1  0.2  0.3  0.4  0.5  0.6  0.6  0.7  0.7  0.8  0.8  0.8  0.8  0.8  0.8  0.8  0.8  0.7  0.7  0.6  0.6  0.5  0.4  0.3  0.2  0.1  0.0  0.0  0.0  0.0  0.0  0.0
 53 |  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.1  0.2  0.4  0.5  0.6  0.6  0.7  0.7  0.8  0.8  0.9  0.9  0.9  0.9  0.9  0.9  0.9  0.9  0.8  0.8  0.7  0.7  0.6  0.5  0.4  0.3  0.2  0.0  0.0  0.0  0.0  0.0  0.0
 51 |  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.2  0.3  0.5  0.6  0.6  0.7  0.8  0.8  0.9  0.9  0.9  1.0  1.0  1.0  1.0  1.0  1.0  0.9  0.9  0.9  0.8  0.8  0.7  0.6  0.5  0.4  0.3  0.2  0.0  0.0  0.0  0.0  0.0
 49 |  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.1  0.3  0.4  0.6  0.6  0.7  0.8  0.9  0.9  1.0  1.0  1.0  1.1  1.1  1.1  1.1  1.1  1.1  1.0  1.0  1.0  0.9  0.9  0.8  0.7  0.6  0.5  0.4  0.3  0.1  0.0  0.0  0.0  0.0
 47 |  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.3  0.4  0.5  0.6  0.7  0.8  0.9  0.9  1.0  1.0  1.1  1.1  1.2  1.2  1.2  1.2  1.2  1.2  1.1  1.1  1.0  1.0  0.9  0.9  0.8  0.7  0.6  0.5  0.4  0.2  0.0  0.0  0.0  0.0
 45 |  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.2  0.3  0.5  0.6  0.7  0.8  0.9  1.0  1.0  1.1  1.1  1.2  1.2  1.2  1.2  1.3  1.3  1.2  1.2  1.2  1.2  1.1  1.1  1.0  1.0  0.9  0.8  0.7  0.6  0.5  0.3  0.1  0.0  0.0  0.0
 43 |  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.3  0.4  0.6  0.7  0.8  0.9  1.0  1.0  1.1  1.2  1.2  1.3  1.3  1.3  1.3  1.3  1.3  1.3  1.3  1.3  1.3  1.2  1.2  1.1  1.0  1.0  0.9  0.8  0.7  0.6  0.4  0.2  0.0  0.0  0.0
 41 |  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.2  0.3  0.5  0.6  0.8  0.9  1.0  1.0  1.1  1.2  1.2  1.3  1.3  1.4  1.4  1.4  1.4  1.4  1.4  1.4  1.4  1.3  1.3  1.2  1.2  1.1  1.0  0.9  0.9  0.7  0.6  0.5  0.3  0.1  0.0  0.0
 39 |  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.2  0.4  0.6  0.7  0.8  0.9  1.0  1.1  1.2  1.3  1.3  1.4  1.4  1.4  1.5  1.5  1.5  1.5  1.5  1.5  1.4  1.4  1.4  1.3  1.2  1.2  1.1  1.0  0.9  0.8  0.7  0.6  0.4  0.2  0.0  0.0
 37 |  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.1  0.3  0.5  0.7  0.8  0.9  1.0  1.1  1.2  1.3  1.3  1.4  1.4  1.5  1.5  1.5  1.6  1.6  1.6  1.6  1.5  1.5  1.5  1.4  1.4  1.3  1.3  1.2  1.1  1.0  0.9  0.8  0.6  0.5  0.3  0.1  0.0
 35 |  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.2  0.4  0.6  0.7  0.9  1.0  1.1  1.2  1.3  1.3  1.4  1.5  1.5  1.6  1.6  1.6  1.6  1.6  1.6  1.6  1.6  1.6  1.5  1.5  1.5  1.4  1.3  1.2  1.2  1.0  0.9  0.8  0.7  0.6  0.4  0.2  0.0
 33 |  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.3  0.5  0.6  0.8  0.9  1.0  1.1  1.2  1.3  1.4  1.5  1.5  1.6  1.6  1.7  1.7  1.7  1.7  1.7  1.7  1.7  1.6  1.6  1.6  1.5  1.5  1.4  1.3  1.2  1.1  1.0  0.9  0.8  0.6  0.4  0.3  0.0
 31 |  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.1  0.4  0.5  0.7  0.8  1.0  1.1  1.2  1.3  1.4  1.5  1.5  1.6  1.6  1.7  1.7  1.7  1.8  1.8  1.8  1.8  1.7  1.7  1.7  1.6  1.6  1.5  1.5  1.4  1.3  1.2  1.1  1.0  0.8  0.7  0.5  0.3  0.1
 29 |  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.2  0.4  0.6  0.8  0.9  1.0  1.2  1.3  1.4  1.4  1.5  1.6  1.7  1.7  1.8  1.8  1.8  1.8  1.8  1.8  1.8  1.8  1.8  1.7  1.7  1.6  1.6  1.5  1.4  1.3  1.2  1.1  1.0  0.9  0.7  0.6  0.4  0.2
 27 |  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.3  0.5  0.7  0.8  1.0  1.1  1.2  1.3  1.4  1.5  1.6  1.6  1.7  1.8  1.8  1.9  1.9  1.9  1.9  1.9  1.9  1.9  1.8  1.8  1.8  1.7  1.6  1.6  1.5  1.4  1.3  1.2  1.1  0.9  0.8  0.6  0.5  0.2
 25 |  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.1  0.3  0.6  0.7  0.9  1.0  1.2  1.3  1.4  1.5  1.6  1.6  1.7  1.8  1.8  1.9  1.9  1.9  1.9  2.0  2.0  1.9  1.9  1.9  1.9  1.8  1.8  1.7  1.6  1.5  1.5  1.4  1.2  1.1  1.0  0.9  0.7  0.5  0.3
 23 |  0.1  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.2  0.4  0.6  0.8  0.9  1.1  1.2  1.3  1.4  1.5  1.6  1.7  1.8  1.8  1.9  1.9  2.0  2.0  2.0  2.0  2.0  2.0  2.0  2.0  1.9  1.9  1.8  1.8  1.7  1.6  1.5  1.4  1.3  1.2  1.0  0.9  0.8  0.6  0.4
 21 |  0.2  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.2  0.5  0.7  0.8  1.0  1.1  1.2  1.4  1.5  1.6  1.7  1.7  1.8  1.9  1.9  2.0  2.0  2.1  2.1  2.1  2.1  2.1  2.0  2.0  2.0  1.9  1.9  1.8  1.7  1.7  1.6  1.5  1.4  1.2  1.1  1.0  0.8  0.6  0.4
 19 |  0.3  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.3  0.5  0.7  0.9  1.0  1.2  1.3  1.4  1.5  1.6  1.7  1.8  1.9  1.9  2.0  2.0  2.1  2.1  2.1  2.1  2.1  2.1  2.1  2.1  2.0  2.0  1.9  1.9  1.8  1.7  1.6  1.5  1.4  1.3  1.2  1.0  0.9  0.7  0.5
